               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.026539,            0.015102,           0.0054809,             0.87167,             0.82852,             0.89072,             0.62186,            0.027451,           0.0057987,           0.0043573,             0.00307,             0.00307,             0.00307
                  37,            0.025943,             0.01482,           0.0049953,             0.86767,             0.83581,             0.89879,             0.63197,             0.02712,           0.0057746,           0.0040428,            0.002872,            0.002872,            0.002872
                  38,            0.025844,            0.014857,           0.0048528,             0.87988,             0.82851,             0.89877,             0.63135,            0.027225,            0.005791,           0.0032298,            0.002674,            0.002674,            0.002674
                  39,            0.025637,            0.014722,           0.0046572,             0.89973,             0.84217,             0.90735,             0.63603,            0.027002,           0.0057541,           0.0036245,            0.002476,            0.002476,            0.002476
                  40,            0.025371,            0.014437,           0.0044405,              0.8779,             0.85835,             0.90075,             0.63771,            0.026817,           0.0057215,           0.0049379,            0.002278,            0.002278,            0.002278
                  41,            0.025092,            0.014467,           0.0045666,             0.88731,             0.85824,             0.91226,              0.6374,            0.027029,           0.0057057,           0.0037644,             0.00208,             0.00208,             0.00208
                  42,            0.024864,            0.014266,           0.0041296,             0.89725,             0.84996,             0.91497,             0.64149,            0.026966,           0.0056719,           0.0034986,            0.001882,            0.001882,            0.001882
                  43,            0.024616,             0.01415,           0.0041411,             0.89551,             0.82823,             0.90718,             0.63897,            0.027136,           0.0057311,           0.0032398,            0.001684,            0.001684,            0.001684
                  44,            0.024978,            0.014278,           0.0041795,             0.88381,             0.85097,             0.91382,              0.6411,            0.026967,           0.0057216,           0.0030861,            0.001486,            0.001486,            0.001486
                  45,            0.024352,            0.014251,           0.0039566,             0.88672,             0.85791,             0.91182,             0.64352,            0.026994,           0.0056974,           0.0033572,            0.001288,            0.001288,            0.001288
                  46,            0.024058,            0.014131,           0.0037651,             0.89022,             0.85749,             0.91274,             0.64455,            0.027042,           0.0056359,           0.0039256,             0.00109,             0.00109,             0.00109
                  47,            0.024027,            0.014057,           0.0039733,             0.89092,             0.85526,             0.91266,             0.65086,            0.026925,           0.0056272,           0.0033443,            0.000892,            0.000892,            0.000892
                  48,            0.023785,            0.013984,           0.0038163,             0.89818,             0.85074,              0.9146,             0.65181,            0.026617,           0.0055963,           0.0033668,            0.000694,            0.000694,            0.000694
                  49,            0.023571,            0.013947,           0.0035343,             0.88799,             0.85623,             0.91288,             0.64939,            0.026748,           0.0055957,            0.003243,            0.000496,            0.000496,            0.000496
